[DEBUG] Procedimento 0 carregado: Tempo Médio = 0.200000, Número de Unidades = 2
[DEBUG] Procedimento 1 carregado: Tempo Médio = 0.500000, Número de Unidades = 10
[DEBUG] Procedimento 2 carregado: Tempo Médio = 0.100000, Número de Unidades = 20
[DEBUG] Procedimento 3 carregado: Tempo Médio = 0.050000, Número de Unidades = 3
[DEBUG] Procedimento 4 carregado: Tempo Médio = 0.500000, Número de Unidades = 50
[DEBUG] Procedimento 5 carregado: Tempo Médio = 0.050000, Número de Unidades = 22
[DEBUG] Evento retirado -> ID: 9916297, Tempo: 443198.20, Tempo de espera: -0.00, Estado: 3
[DEBUG] Evento retirado -> ID: 9916294, Tempo: 443198.20, Tempo de espera: -0.00, Estado: 7
[DEBUG] Evento retirado -> ID: 9916294, Tempo: 443198.30, Tempo de espera: -0.00, Estado: 9
[DEBUG] Evento retirado -> ID: 9916299, Tempo: 443198.40, Tempo de espera: 0.20, Estado: 3
[DEBUG] Evento retirado -> ID: 9916300, Tempo: 443198.40, Tempo de espera: 0.20, Estado: 3
[DEBUG] Evento retirado -> ID: 9916301, Tempo: 443198.60, Tempo de espera: 0.40, Estado: 3
[DEBUG] Evento retirado -> ID: 9916302, Tempo: 443198.60, Tempo de espera: 0.40, Estado: 3
[DEBUG] Evento retirado -> ID: 9916296, Tempo: 443198.70, Tempo de espera: -0.00, Estado: 5
[DEBUG] Evento retirado -> ID: 9916297, Tempo: 443198.70, Tempo de espera: -0.00, Estado: 13
[DEBUG] Evento retirado -> ID: 9916319, Tempo: 443198.70, Tempo de espera: 0.20, Estado: 7
[DEBUG] Evento retirado -> ID: 9916294, Tempo: 443198.80, Tempo de espera: -0.00, Estado: 11
[DEBUG] Evento retirado -> ID: 9916303, Tempo: 443198.80, Tempo de espera: 0.60, Estado: 3
[DEBUG] Evento retirado -> ID: 9916329, Tempo: 443198.80, Tempo de espera: 0.60, Estado: 3
[DEBUG] Evento retirado -> ID: 9916299, Tempo: 443198.90, Tempo de espera: 0.20, Estado: 13
[DEBUG] Evento retirado -> ID: 9916300, Tempo: 443198.90, Tempo de espera: 0.20, Estado: 13
[DEBUG] Evento retirado -> ID: 9916308, Tempo: 443199.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9916309, Tempo: 443199.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9916314, Tempo: 443199.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9916331, Tempo: 443199.00, Tempo de espera: 0.80, Estado: 3
[DEBUG] Evento retirado -> ID: 9916301, Tempo: 443199.10, Tempo de espera: 0.40, Estado: 13
[DEBUG] Evento retirado -> ID: 9916302, Tempo: 443199.10, Tempo de espera: 0.40, Estado: 13
[DEBUG] Evento retirado -> ID: 9916319, Tempo: 443199.10, Tempo de espera: 0.20, Estado: 9
[DEBUG] Evento retirado -> ID: 9916308, Tempo: 443199.20, Tempo de espera: -0.00, Estado: 3
[DEBUG] Evento retirado -> ID: 9916309, Tempo: 443199.20, Tempo de espera: -0.00, Estado: 3
[DEBUG] Evento retirado -> ID: 9916303, Tempo: 443199.30, Tempo de espera: 0.60, Estado: 5
[DEBUG] Evento retirado -> ID: 9916329, Tempo: 443199.30, Tempo de espera: 0.60, Estado: 5
[DEBUG] Evento retirado -> ID: 9916314, Tempo: 443199.40, Tempo de espera: 0.20, Estado: 3
[DEBUG] Evento retirado -> ID: 9916331, Tempo: 443199.50, Tempo de espera: 0.80, Estado: 5
[DEBUG] Evento retirado -> ID: 9916308, Tempo: 443199.70, Tempo de espera: -0.00, Estado: 13
[DEBUG] Evento retirado -> ID: 9916309, Tempo: 443199.70, Tempo de espera: -0.00, Estado: 13
[DEBUG] Evento retirado -> ID: 9916294, Tempo: 443199.75, Tempo de espera: -0.00, Estado: 13
[DEBUG] Evento retirado -> ID: 9916314, Tempo: 443199.90, Tempo de espera: 0.20, Estado: 5
[DEBUG] Evento retirado -> ID: 9916310, Tempo: 443200.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9916311, Tempo: 443200.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9916313, Tempo: 443200.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9916331, Tempo: 443200.00, Tempo de espera: 0.80, Estado: 7
[DEBUG] Evento retirado -> ID: 9916319, Tempo: 443200.10, Tempo de espera: 0.20, Estado: 11
[DEBUG] Evento retirado -> ID: 9916329, Tempo: 443200.10, Tempo de espera: 0.60, Estado: 7
[DEBUG] Evento retirado -> ID: 9916331, Tempo: 443200.15, Tempo de espera: 0.80, Estado: 9
[DEBUG] Evento retirado -> ID: 9916310, Tempo: 443200.20, Tempo de espera: -0.00, Estado: 3
[DEBUG] Evento retirado -> ID: 9916311, Tempo: 443200.20, Tempo de espera: -0.00, Estado: 3
[DEBUG] Evento retirado -> ID: 9916329, Tempo: 443200.35, Tempo de espera: 0.60, Estado: 9
[DEBUG] Evento retirado -> ID: 9916313, Tempo: 443200.40, Tempo de espera: 0.20, Estado: 3
[DEBUG] Evento retirado -> ID: 9916256, Tempo: 443200.55, Tempo de espera: -0.00, Estado: 11
[DEBUG] Evento retirado -> ID: 9916331, Tempo: 443200.65, Tempo de espera: 0.80, Estado: 11
[DEBUG] Evento retirado -> ID: 9916319, Tempo: 443200.65, Tempo de espera: 0.20, Estado: 13
[DEBUG] Evento retirado -> ID: 9916310, Tempo: 443200.70, Tempo de espera: -0.00, Estado: 5
[DEBUG] Evento retirado -> ID: 9916311, Tempo: 443200.70, Tempo de espera: -0.00, Estado: 13
[DEBUG] Evento retirado -> ID: 9916313, Tempo: 443200.90, Tempo de espera: 0.20, Estado: 13
[DEBUG] Evento retirado -> ID: 9916317, Tempo: 443201.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9916320, Tempo: 443201.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9916321, Tempo: 443201.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9916322, Tempo: 443201.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9916323, Tempo: 443201.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9916317, Tempo: 443201.20, Tempo de espera: -0.00, Estado: 3
[DEBUG] Evento retirado -> ID: 9916320, Tempo: 443201.20, Tempo de espera: -0.00, Estado: 3
[DEBUG] Evento retirado -> ID: 9916329, Tempo: 443201.35, Tempo de espera: 0.60, Estado: 11
[DEBUG] Evento retirado -> ID: 9916321, Tempo: 443201.40, Tempo de espera: 0.20, Estado: 3
[DEBUG] Evento retirado -> ID: 9916322, Tempo: 443201.40, Tempo de espera: 0.20, Estado: 3
[DEBUG] Evento retirado -> ID: 9916331, Tempo: 443201.45, Tempo de espera: 0.80, Estado: 13
[DEBUG] Evento retirado -> ID: 9916323, Tempo: 443201.60, Tempo de espera: 0.40, Estado: 3
